"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 14 03:56:22 UTC 2023","Sat Oct 14 03:56:25 UTC 2023","3057","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Sat Oct 14 03:57:30 UTC 2023","Sat Oct 14 03:57:33 UTC 2023","3283","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"broken","Sat Oct 14 03:20:32 UTC 2023","Sat Oct 14 03:20:32 UTC 2023","2","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sat Oct 14 02:32:50 UTC 2023","Sat Oct 14 02:32:58 UTC 2023","7573","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Sat Oct 14 03:51:16 UTC 2023","Sat Oct 14 03:51:16 UTC 2023","438","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sat Oct 14 03:25:24 UTC 2023","Sat Oct 14 03:25:51 UTC 2023","27227","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Sat Oct 14 02:27:11 UTC 2023","Sat Oct 14 02:27:14 UTC 2023","3166","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Oct 14 03:10:51 UTC 2023","Sat Oct 14 03:10:53 UTC 2023","2790","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Sat Oct 14 03:07:13 UTC 2023","Sat Oct 14 03:07:15 UTC 2023","1996","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Sat Oct 14 03:56:55 UTC 2023","Sat Oct 14 03:57:00 UTC 2023","5341","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Sat Oct 14 02:47:06 UTC 2023","Sat Oct 14 02:47:16 UTC 2023","9568","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Sat Oct 14 02:42:30 UTC 2023","Sat Oct 14 02:43:35 UTC 2023","64945","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Sat Oct 14 03:33:01 UTC 2023","Sat Oct 14 03:33:04 UTC 2023","3218","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Sat Oct 14 03:33:07 UTC 2023","Sat Oct 14 03:33:10 UTC 2023","2990","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Sat Oct 14 02:18:55 UTC 2023","Sat Oct 14 02:19:22 UTC 2023","26618","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Sat Oct 14 03:56:25 UTC 2023","Sat Oct 14 03:56:48 UTC 2023","23563","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Sat Oct 14 03:07:27 UTC 2023","Sat Oct 14 03:07:28 UTC 2023","662","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sat Oct 14 02:29:47 UTC 2023","Sat Oct 14 02:29:52 UTC 2023","4849","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Sat Oct 14 02:48:18 UTC 2023","Sat Oct 14 02:48:22 UTC 2023","4177","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Oct 14 03:13:48 UTC 2023","Sat Oct 14 03:13:50 UTC 2023","1590","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sat Oct 14 03:25:23 UTC 2023","Sat Oct 14 03:25:24 UTC 2023","1046","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sat Oct 14 03:48:31 UTC 2023","Sat Oct 14 03:48:41 UTC 2023","9951","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sat Oct 14 02:51:40 UTC 2023","Sat Oct 14 02:51:49 UTC 2023","9778","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Sat Oct 14 03:07:16 UTC 2023","Sat Oct 14 03:07:27 UTC 2023","11326","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sat Oct 14 03:51:10 UTC 2023","Sat Oct 14 03:51:16 UTC 2023","6248","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Sat Oct 14 03:48:09 UTC 2023","Sat Oct 14 03:48:31 UTC 2023","21287","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sat Oct 14 03:48:41 UTC 2023","Sat Oct 14 03:48:43 UTC 2023","2642","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Sat Oct 14 02:18:11 UTC 2023","Sat Oct 14 02:18:44 UTC 2023","33335","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Sat Oct 14 02:18:44 UTC 2023","Sat Oct 14 02:18:55 UTC 2023","10971","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
